job_title,work_year,salary_in_usd
Data DevOps Engineer,2023,95012
Data Architect,2023,186000
Data Architect,2023,81800
Data Scientist,2023,212000
Data Scientist,2023,93300
Data Scientist,2023,130000
Data Scientist,2023,100000
Machine Learning Researcher,2023,224400
Machine Learning Researcher,2023,138700
Data Engineer,2023,210000
Data Engineer,2023,168000
Machine Learning Engineer,2023,224400
Machine Learning Engineer,2023,138700
Data Scientist,2023,43064
Data Scientist,2023,36912
Data Analyst,2023,95000
Data Analyst,2023,75000
Data Scientist,2023,300000
Data Scientist,2023,234000
Analytics Engineer,2023,140000
Analytics Engineer,2023,120000
Machine Learning Engineer,2023,204500
Machine Learning Engineer,2023,142200
Data Analyst,2023,155000
Data Analyst,2023,110000
Machine Learning Engineer,2023,266500
Machine Learning Engineer,2023,152000
Applied Scientist,2023,222200
Applied Scientist,2023,136000
Machine Learning Engineer,2023,273400
Machine Learning Engineer,2023,182200
BI Developer,2023,167500
BI Developer,2023,106500
Data Engineer,2023,185900
Data Engineer,2023,129300
Business Intelligence Engineer,2023,185000
Business Intelligence Engineer,2023,79600
Data Engineer,2023,122000
Data Engineer,2023,94500
Data Engineer,2023,247300
Data Engineer,2023,139700
Data Analyst,2023,176000
Data Analyst,2023,100000
Machine Learning Engineer,2023,204500
Machine Learning Engineer,2023,142200
Research Scientist,2023,247600
Research Scientist,2023,127300
Data Scientist,2023,223400
Data Scientist,2023,186200
Data Engineer,2023,167500
Data Engineer,2023,106500
Data Scientist,2023,185900
Data Scientist,2023,129300
Research Analyst,2023,72000
Research Analyst,2023,64000
Analytics Engineer,2023,179820
Analytics Engineer,2023,143860
Research Scientist,2023,283050
Research Scientist,2023,188700
Data Engineer,2023,133000
Data Engineer,2023,58400
Research Engineer,2023,141298
Research Engineer,2023,115607
Data Analyst,2023,100000
Data Analyst,2023,75000
Machine Learning Engineer,2023,266500
Machine Learning Engineer,2023,144400
Data Engineer,2023,71363
Data Engineer,2023,55368
Research Scientist,2023,287500
Research Scientist,2023,156000
Data Analyst,2023,90000
Data Analyst,2023,70000
Data Engineer,2023,199000
Data Engineer,2023,162000
Data Engineer,2023,170884
Data Engineer,2023,113923
Data Engineer,2023,184000
Data Engineer,2023,123000
Data Scientist,2023,235750
Data Scientist,2023,174250
Research Scientist,2023,165000
Research Scientist,2023,118800
Data Engineer,2023,225000
Data Engineer,2023,150000
Machine Learning Engineer,2023,213900
Machine Learning Engineer,2023,116800
Data Scientist,2023,220000
Data Scientist,2023,150000
Data Scientist,2023,150000
Data Scientist,2023,100000
Machine Learning Engineer,2023,247500
Machine Learning Engineer,2023,172200
Data Engineer,2023,155000
Data Engineer,2023,120000
Data Engineer,2023,226700
Data Engineer,2023,133300
Data Engineer,2023,184000
Data Engineer,2023,123000
Data Scientist,2023,130000
Data Scientist,2023,117000
Data Science Engineer,2023,160000
Data Science Engineer,2023,140000
Data Scientist,2023,166000
Data Scientist,2023,73000
Data Scientist,2023,185900
Data Scientist,2023,129300
Data Engineer,2023,130000
Data Engineer,2023,104000
Data Engineer,2023,143000
Data Engineer,2023,116000
Research Scientist,2023,165000
Research Scientist,2023,118800
Research Scientist,2023,220000
Research Scientist,2023,180000
Data Engineer,2023,184000
Data Engineer,2023,123000
Data Engineer,2023,215000
Data Engineer,2023,200000
Data Scientist,2023,253000
Data Scientist,2023,131000
Machine Learning Engineer,2023,220000
Machine Learning Engineer,2023,176000
Data Quality Analyst,2023,49216
Data Quality Analyst,2023,36912
Data Scientist,2023,210000
Data Scientist,2023,147000
Data Product Manager,2023,186000
Data Product Manager,2023,161000
Machine Learning Engineer,2023,205000
Machine Learning Engineer,2023,152000
Data Engineer,2023,220000
Data Engineer,2023,190000
Machine Learning Engineer,2023,205000
Machine Learning Engineer,2023,152000
Data Analyst,2023,137000
Data Analyst,2023,110000
Data Scientist,2023,172000
Data Scientist,2023,146000
Data Engineer,2023,148000
Data Engineer,2023,99000
Data Scientist,2023,150000
Data Scientist,2023,130000
Data Analyst,2023,105000
Data Engineer,2023,99000
Data Engineer,2023,52500
Machine Learning Scientist,2023,180514
Machine Learning Scientist,2023,108308
Machine Learning Engineer,2023,210000
Machine Learning Engineer,2023,147000
Data Engineer,2023,290300
Data Engineer,2023,196685
AI Engineer,2023,220000
AI Engineer,2023,176000
Machine Learning Engineer,2023,175000
Machine Learning Engineer,2023,130000
Data Architect,2023,185000
Data Architect,2023,150000
Data Engineer,2023,145000
Data Engineer,2023,115000
MLOps Engineer,2023,133000
MLOps Engineer,2023,58300
Analytics Engineer,2023,115000
Analytics Engineer,2023,95000
Data Engineer,2023,110244
Data Engineer,2023,39372
Data Scientist,2023,43187
Data Scientist,2023,31310
Data Analyst,2023,92280
Data Analyst,2023,67672
Data Analyst,2023,92280
Data Analyst,2023,67672
Data Scientist,2023,75577
Deep Learning Engineer,2023,303387
Deep Learning Engineer,2023,100017
Data Engineer,2023,230300
Data Engineer,2023,140000
